X,Y,R,G,B
0,0,40,123,90
1,0,39,129,90
2,0,37,133,89
3,0,33,138,82
4,0,42,139,74
5,0,47,138,83
6,0,47,137,89
7,0,52,136,92
8,0,44,138,91
9,0,42,136,86
10,0,52,138,84
11,0,48,139,86
12,0,44,138,91
13,0,49,135,95
14,0,48,135,89
15,0,51,132,96
16,0,47,129,99
17,0,50,130,96
18,0,53,130,88
19,0,54,132,87
20,0,55,132,95
21,0,55,130,103
22,0,54,130,98
23,0,54,133,93
24,0,54,133,95
25,0,56,133,96
26,0,58,139,91
27,0,63,136,95
28,0,65,135,95
29,0,69,135,94
30,0,69,135,92
31,0,67,140,95
32,0,64,140,94
33,0,68,139,95
34,0,69,140,98
35,0,63,141,97
36,0,68,138,99
37,0,75,134,103
38,0,78,135,93
39,0,75,137,91
40,0,71,139,98
41,0,73,136,101
42,0,75,133,98
43,0,81,135,96
44,0,82,134,94
45,0,83,130,103
46,0,80,130,104
47,0,87,129,99
48,0,87,129,99
49,0,81,129,102
50,0,82,126,107
51,0,93,122,110
52,0,97,123,103
53,0,93,125,96
54,0,93,122,96
55,0,90,123,98
56,0,96,122,100
57,0,101,119,106
58,0,100,115,103
59,0,106,114,107
60,0,107,113,105
61,0,105,112,107
62,0,111,111,111
63,0,109,109,109
64,0,115,105,108
65,0,122,103,107
66,0,124,102,107
67,0,121,102,108
68,0,122,97,108
69,0,128,97,107
70,0,131,98,104
71,0,130,94,104
72,0,127,93,105
73,0,130,91,107
74,0,130,94,106
75,0,129,91,104
76,0,130,91,107
77,0,137,87,111
78,0,139,85,108
79,0,138,84,106
80,0,139,83,104
81,0,142,82,102
82,0,135,81,106
83,0,132,81,101
84,0,136,80,101
85,0,132,78,103
86,0,130,80,97
87,0,133,77,103
88,0,132,75,104
89,0,126,78,96
90,0,131,76,94
91,0,132,77,95
92,0,128,75,95
93,0,126,73,91
94,0,126,69,98
95,0,123,70,104
96,0,114,74,97
97,0,107,74,92
98,0,109,71,93
99,0,111,68,94
100,0,102,69,92
101,0,99,69,88
102,0,95,68,95
103,0,91,66,97
104,0,90,64,100
105,0,88,65,96
106,0,87,64,93
107,0,81,65,98
108,0,80,65,88
109,0,80,65,86
110,0,75,62,96
111,0,72,59,98
112,0,70,58,91
113,0,64,60,86
114,0,55,60,88
115,0,53,60,87
116,0,56,58,87
117,0,52,56,88
118,0,49,55,87
119,0,49,56,83
0,1,41,120,82
1,1,38,127,83
2,1,44,131,88
3,1,47,138,83
4,1,42,144,76
5,1,39,145,82
6,1,41,142,83
7,1,46,137,83
8,1,45,137,87
9,1,43,139,91
10,1,46,138,87
11,1,47,141,82
12,1,47,140,88
13,1,49,136,93
14,1,53,137,84
15,1,55,135,88
16,1,53,134,100
17,1,51,132,96
18,1,50,132,90
19,1,51,130,92
20,1,55,132,97
21,1,58,131,100
22,1,56,133,98
23,1,52,136,92
24,1,56,132,102
25,1,62,130,105
26,1,60,135,96
27,1,63,137,98
28,1,64,138,90
29,1,62,141,90
30,1,67,140,93
31,1,68,140,93
32,1,63,142,93
33,1,66,142,94
34,1,68,141,98
35,1,68,140,100
36,1,72,140,103
37,1,79,137,99
38,1,82,135,99
39,1,77,139,95
40,1,78,139,100
41,1,80,139,98
42,1,81,135,94
43,1,81,135,92
44,1,79,137,90
45,1,85,133,103
46,1,87,133,99
47,1,85,134,97
48,1,87,131,96
49,1,87,131,96
50,1,89,127,101
51,1,94,124,105
52,1,95,127,100
53,1,91,125,96
54,1,96,122,102
55,1,102,118,104
56,1,107,118,105
57,1,104,121,106
58,1,107,117,109
59,1,110,113,110
60,1,112,114,102
61,1,112,113,106
62,1,116,111,113
63,1,117,108,107
64,1,117,107,99
65,1,119,108,105
66,1,125,104,107
67,1,127,101,107
68,1,127,98,108
69,1,135,98,103
70,1,139,97,105
71,1,131,96,103
72,1,133,94,105
73,1,136,92,107
74,1,136,92,107
75,1,136,93,105
76,1,136,90,106
77,1,137,88,107
78,1,138,90,104
79,1,138,88,105
80,1,133,85,101
81,1,136,83,101
82,1,140,82,101
83,1,137,81,100
84,1,135,82,100
85,1,135,82,100
86,1,136,81,97
87,1,138,77,98
88,1,133,77,101
89,1,130,79,99
90,1,129,78,97
91,1,128,74,97
92,1,129,72,96
93,1,125,75,92
